implementacao;arquivo;palavra;threads;tempo_seq;tempo_par;speedup;ocorrencias
C;arquivo0.1GB.txt;a;1;0.272000;0.081500;3.337419;10662301
Java;arquivo0.1GB.txt;a;1;0.203432;0.228416;0.890620;10662301
C;arquivo0.1GB.txt;a;2;0.058000;0.062000;0.935487;10662301
Java;arquivo0.1GB.txt;a;2;0.192235;0.182627;1.052611;10662301
C;arquivo0.1GB.txt;a;8;0.059000;0.063000;0.936507;10662301
Java;arquivo0.1GB.txt;a;8;0.195095;0.131775;1.480517;10662301
C;arquivo0.1GB.txt;a;20;0.056000;0.064000;0.875001;10662301
Java;arquivo0.1GB.txt;a;20;0.192833;0.144205;1.337211;10662301
C;arquivo0.1GB.txt;a;40;0.063000;0.068000;0.926471;10662301
Java;arquivo0.1GB.txt;a;40;0.198934;0.153085;1.299502;10662301
C;arquivo0.1GB.txt;a;80;0.053500;0.063000;0.849204;10662301
Java;arquivo0.1GB.txt;a;80;0.190258;0.132918;1.431389;10662301
C;arquivo0.1GB.txt;a;120;0.055500;0.064000;0.867186;10662301
Java;arquivo0.1GB.txt;a;120;0.195150;0.145947;1.337127;10662301
C;arquivo0.1GB.txt;a;160;0.055000;0.065000;0.846156;10662301
Java;arquivo0.1GB.txt;a;160;0.188142;0.156814;1.199783;10662301
C;arquivo0.1GB.txt;a;200;0.055500;0.059000;0.940680;10662301
Java;arquivo0.1GB.txt;a;200;0.192899;0.171326;1.125916;10662301
C;arquivo0.1GB.txt;como;1;0.129000;0.131500;0.980988;49961
Java;arquivo0.1GB.txt;como;1;0.199736;0.194642;1.026170;49961
C;arquivo0.1GB.txt;como;2;0.129000;0.130500;0.988506;49961
Java;arquivo0.1GB.txt;como;2;0.197282;0.154130;1.279968;49961
C;arquivo0.1GB.txt;como;8;0.124000;0.130000;0.953848;49961
Java;arquivo0.1GB.txt;como;8;0.197860;0.116306;1.701203;49961
C;arquivo0.1GB.txt;como;20;0.125000;0.128000;0.976562;49961
Java;arquivo0.1GB.txt;como;20;0.198729;0.122435;1.623132;49961
C;arquivo0.1GB.txt;como;40;0.130000;0.129000;1.007752;49961
Java;arquivo0.1GB.txt;como;40;0.192332;0.140029;1.373512;49961
C;arquivo0.1GB.txt;como;80;0.123000;0.127000;0.968503;49961
Java;arquivo0.1GB.txt;como;80;0.204714;0.135363;1.512331;49961
C;arquivo0.1GB.txt;como;120;0.124000;0.130000;0.953846;49961
Java;arquivo0.1GB.txt;como;120;0.205227;0.144501;1.420243;49961
C;arquivo0.1GB.txt;como;160;0.124500;0.128500;0.968872;49961
Java;arquivo0.1GB.txt;como;160;0.197992;0.165278;1.197930;49961
C;arquivo0.1GB.txt;como;200;0.133000;0.131500;1.011405;49961
Java;arquivo0.1GB.txt;como;200;0.192957;0.155307;1.242422;49961
C;arquivo0.1GB.txt;Bacamarte;1;0.084500;0.092000;0.918477;62445
Java;arquivo0.1GB.txt;Bacamarte;1;0.160424;0.138592;1.157530;62445
C;arquivo0.1GB.txt;Bacamarte;2;0.096000;0.094500;1.015874;62445
Java;arquivo0.1GB.txt;Bacamarte;2;0.161111;0.120251;1.339788;62445
C;arquivo0.1GB.txt;Bacamarte;8;0.091000;0.096500;0.943006;62445
Java;arquivo0.1GB.txt;Bacamarte;8;0.161933;0.122627;1.320531;62445
C;arquivo0.1GB.txt;Bacamarte;20;0.088000;0.092000;0.956520;62445
Java;arquivo0.1GB.txt;Bacamarte;20;0.157240;0.145085;1.083784;62445
C;arquivo0.1GB.txt;Bacamarte;40;0.087500;0.090000;0.972223;62445
Java;arquivo0.1GB.txt;Bacamarte;40;0.147135;0.120944;1.216554;62445
C;arquivo0.1GB.txt;Bacamarte;80;0.085500;0.083000;1.030118;62445
Java;arquivo0.1GB.txt;Bacamarte;80;0.139538;0.129183;1.080154;62445
C;arquivo0.1GB.txt;Bacamarte;120;0.082000;0.087500;0.937143;62445
Java;arquivo0.1GB.txt;Bacamarte;120;0.136407;0.128641;1.060370;62445
C;arquivo0.1GB.txt;Bacamarte;160;0.082500;0.082500;1.000000;62445
Java;arquivo0.1GB.txt;Bacamarte;160;0.139554;0.144778;0.963920;62445
C;arquivo0.1GB.txt;Bacamarte;200;0.078500;0.084500;0.928992;62445
Java;arquivo0.1GB.txt;Bacamarte;200;0.138733;0.147667;0.939502;62445
C;arquivo1GB.txt;a;1;6.570500;0.424000;15.496461;106622636
Java;arquivo1GB.txt;a;1;1.638265;1.580807;1.036347;106622636
C;arquivo1GB.txt;a;2;0.453000;0.466000;0.972103;106622636
Java;arquivo1GB.txt;a;2;1.640593;1.112882;1.474184;106622636
C;arquivo1GB.txt;a;8;0.416000;0.447000;0.930649;106622636
Java;arquivo1GB.txt;a;8;1.679462;0.789195;2.128069;106622636
C;arquivo1GB.txt;a;20;0.420500;0.455500;0.923161;106622636
Java;arquivo1GB.txt;a;20;1.645853;0.784824;2.097098;106622636
C;arquivo1GB.txt;a;40;0.432000;0.455000;0.949450;106622636
Java;arquivo1GB.txt;a;40;1.620365;0.755230;2.145525;106622636
C;arquivo1GB.txt;a;80;0.413000;0.435500;0.948335;106622636
Java;arquivo1GB.txt;a;80;1.673039;0.786651;2.126786;106622636
C;arquivo1GB.txt;a;120;0.400500;0.443000;0.904063;106622636
Java;arquivo1GB.txt;a;120;1.613614;0.726017;2.222558;106622636
C;arquivo1GB.txt;a;160;0.413500;0.420000;0.984524;106622636
Java;arquivo1GB.txt;a;160;1.568149;0.775002;2.023414;106622636
